id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,last5Points,last5PlayedSlots,last5AveragePoints,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg
2366,2,Alphonso,Davies,13403924.0,86.0,13.0,13.0,6.0,36386.0,1116.0,0,2,https://kickbase.b-cdn.net/content/file/c425ab49434449f08f28bcd1ae8b303d.png,19.0,2,83.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 92}, {""hasPlayed"": true, ""points"": 200}]",3,Alphonso Davies,-289128.0,"[null, null, 63.0, 92.0, 200.0]",3,118.33333333333333,-289128.0,-292813.0,-321549.0,-2221781.0,-1107762.0
7676,13,Fabian,Rieder,13122900.0,71.0,32.0,32.0,28.0,153869.0,2269.0,0,3,https://kickbase.b-cdn.net/content/file/b8be92875d234069b94b6913a19d1db1.png,32.0,1,172.0,,"[{""hasPlayed"": true, ""points"": 35}, {""hasPlayed"": true, ""points"": 134}, {""hasPlayed"": true, ""points"": 78}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 262}]",1,Fabian Rieder,213823.0,"[35.0, 134.0, 78.0, 77.0, 262.0]",5,117.2,213823.0,199539.0,192165.0,1369919.0,5779136.0
3364,40,Carl,Klaus,2608884.0,117.0,4.0,4.0,3.0,22461.0,466.0,0,1,https://kickbase.b-cdn.net/content/file/03530ee1979440f6865c5fc39260c63a.png,25.0,1,178.0,,"[{""hasPlayed"": true, ""points"": 154}, {""hasPlayed"": true, ""points"": 124}, {""hasPlayed"": true, ""points"": 85}, {""hasPlayed"": true, ""points"": 103}, {""hasPlayed"": false, ""points"": null}]",3,Carl Klaus,374816.0,"[154.0, 124.0, 85.0, 103.0, null]",4,116.5,374816.0,363317.0,360369.0,2108884.0,586001.0
493,13,Michael,Gregoritsch,10165285.0,74.0,17.0,17.0,11.0,60067.0,1251.0,0,4,https://kickbase.b-cdn.net/content/file/9e326d137a9744f09b05b6536642036e.png,38.0,1,123.0,,"[{""hasPlayed"": true, ""points"": -15}, {""hasPlayed"": true, ""points"": 273}, {""hasPlayed"": true, ""points"": 132}, {""hasPlayed"": true, ""points"": 75}, {""hasPlayed"": false, ""points"": null}]",3,Michael Gregoritsch,207709.0,"[-15.0, 273.0, 132.0, 75.0, null]",4,116.25,207709.0,175894.0,162950.0,1254776.0,3422917.0
2038,2,Konrad,Laimer,32688837.0,136.0,29.0,29.0,22.0,131747.0,3943.0,2,2,https://kickbase.b-cdn.net/content/file/5facdf754a204792b327d0754f2ede01.png,27.0,2,120.0,,"[{""hasPlayed"": true, ""points"": 69}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 241}, {""hasPlayed"": true, ""points"": 39}]",3,Konrad Laimer,-602064.0,"[69.0, 135.0, 95.0, 241.0, 39.0]",5,115.8,-602064.0,-581587.0,-205597.0,-1359433.0,-177470.0
2195,13,Finn,Dahmen,15981293.0,90.0,34.0,34.0,34.0,203411.0,3060.0,0,1,https://kickbase.b-cdn.net/content/file/b2d5477eac9e43ec9b45f8b1fd08da38.png,1.0,1,191.0,,"[{""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 109}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 274}]",1,Finn Dahmen,102302.0,"[28.0, 77.0, 109.0, 87.0, 274.0]",5,115.0,102302.0,93551.0,75655.0,615023.0,2573211.0
577,15,Daniel,Batz,3054739.0,111.0,21.0,21.0,21.0,125022.0,2331.0,0,1,https://kickbase.b-cdn.net/content/file/e60790d49ac84cdea97c383097ad8e12.png,33.0,2,763.0,,"[{""hasPlayed"": true, ""points"": 282}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": true, ""points"": 37}, {""hasPlayed"": true, ""points"": 95}]",5,Daniel Batz,-125138.0,"[282.0, null, 45.0, 37.0, 95.0]",4,114.75,-125138.0,-128736.0,-124951.0,-872316.0,-2675311.0
6185,4,Hugo,Larsson,9688045.0,71.0,25.0,25.0,21.0,117957.0,1779.0,2,3,https://kickbase.b-cdn.net/content/file/9e79207a19224f719522639de01974d9.png,16.0,2,183.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 60}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 115}]",3,Hugo Larsson,-262113.0,"[null, null, 60.0, 166.0, 115.0]",3,113.66666666666667,-262113.0,-496634.0,-410836.0,-2001921.0,30673.0
11675,2,Luis,Díaz,53334606.0,178.0,32.0,32.0,27.0,163321.0,5698.0,0,4,https://kickbase.b-cdn.net/content/file/8be4ef70fac349c3920923d1d22c624f.png,14.0,1,106.0,,"[{""hasPlayed"": true, ""points"": 205}, {""hasPlayed"": true, ""points"": 50}, {""hasPlayed"": true, ""points"": 54}, {""hasPlayed"": true, ""points"": 30}, {""hasPlayed"": true, ""points"": 225}]",1,Luis Díaz,34292.0,"[205.0, 50.0, 54.0, 30.0, 225.0]",5,112.8,34292.0,36000.0,34525.0,248223.0,1048240.0
6667,43,El Chadaille,Bitshiabu,3462587.0,74.0,11.0,11.0,8.0,43528.0,815.0,0,2,https://kickbase.b-cdn.net/content/file/35e5bfeabc4344cd8db03535c4ca2d6f.png,5.0,2,235.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 106}, {""hasPlayed"": true, ""points"": 109}, {""hasPlayed"": true, ""points"": 120}]",4,El Chadaille Bitshiabu,-106024.0,"[null, null, 106.0, 109.0, 120.0]",3,111.66666666666667,-106024.0,-120891.0,-121510.0,-845624.0,83997.0
1991,2,Dayotchanculle,Upamecano,33748368.0,119.0,24.0,24.0,21.0,119193.0,2858.0,0,2,https://kickbase.b-cdn.net/content/file/786ab7fb4f394b598ffdd4d09c323bfa.png,2.0,1,84.0,,"[{""hasPlayed"": true, ""points"": 152}, {""hasPlayed"": true, ""points"": 71}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Dayotchanculle Upamecano,71387.0,"[152.0, 71.0, null, null, null]",2,111.5,71387.0,66183.0,65015.0,481936.0,2199848.0
