id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg
15193,14,Mats,Rots,7852193.0,-14.0,1.0,1.0,0.0,507.0,-14.0,0,2,https://kickbase.b-cdn.net/content/file/d96dc40ca1674b38aef03dff83ae8ab0.png,39.0,2,,,"[{""hasPlayed"": true, ""points"": -14}]",3,Mats Rots,-362948.0,-362948.0,-416381.0,-389336.0,-890138.0,-2426023.0
15262,14,Nathan,De Cat,15282957.0,-9.0,1.0,1.0,0.0,1497.0,-9.0,0,3,https://kickbase.b-cdn.net/content/file/8c55d861342c440b9966f1cd6dc86f29.png,17.0,2,,,"[{""hasPlayed"": true, ""points"": -9}]",3,Nathan De Cat,-589093.0,-589093.0,-647115.0,-773716.0,-3095901.0,1389406.0
51,40,Rani,Khedira,7871307.0,51.0,1.0,1.0,1.0,6161.0,51.0,0,3,https://kickbase.b-cdn.net/content/file/9ecae4fccb2648b8b2bd92c4cac3f955.png,8.0,2,6.0,,"[{""hasPlayed"": true, ""points"": 51}]",1,Rani Khedira,-158886.0,-158886.0,-203285.0,-225040.0,-1009989.0,3659001.0
1223,40,Marvin,Friedrich,2305001.0,,,,,,,2,2,https://kickbase.b-cdn.net/content/file/0e7e99776b0c460eaaf8702878b90869.png,5.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Marvin Friedrich,-131642.0,-131642.0,-137460.0,-139443.0,-1048827.0,39454.0
1553,40,Janik,Haberer,2270675.0,29.0,1.0,1.0,0.0,1181.0,29.0,0,3,https://kickbase.b-cdn.net/content/file/ce496ba0469a4a3b80d18b665d7466c0.png,19.0,2,12.0,,"[{""hasPlayed"": true, ""points"": 29}]",4,Janik Haberer,-45965.0,-45965.0,-81501.0,-94882.0,-675008.0,-1296113.0
1955,40,Oliver,Burke,2606279.0,,,,,,,2,4,https://kickbase.b-cdn.net/content/file/a76d8d4a531548f58ceb241fe4958952.png,7.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Oliver Burke,-123742.0,-123742.0,-127987.0,-137943.0,-911669.0,-308911.0
2065,40,Felix,Uduokhai,4838159.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/e407afb596ac48f2bab3f2f63a37f2c2.png,2.0,1,,,"[{""hasPlayed"": false, ""points"": null}]",3,Felix Uduokhai,98197.0,98197.0,43587.0,-24791.0,-860379.0,-3860379.0
2279,40,Frederik,Rönnow,7573723.0,,,,,,,2,1,https://kickbase.b-cdn.net/content/file/a74539007fa347f28af0ce83caafef6f.png,1.0,1,,,"[{""hasPlayed"": false, ""points"": null}]",4,Frederik Rönnow,-1718.0,-1718.0,53809.0,51672.0,-69728.0,-1079927.0
2302,40,Woo-Yeong,Jeong,5367590.0,61.0,1.0,1.0,0.0,2061.0,61.0,0,3,https://kickbase.b-cdn.net/content/file/167f780b883445c1bb79e00354f1e807.png,11.0,1,11.0,,"[{""hasPlayed"": true, ""points"": 61}]",3,Woo-Yeong Jeong,242141.0,242141.0,340428.0,380292.0,2161090.0,728854.0
2400,40,Christopher,Trimmel,3023838.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/0133043125be433d91c3b93eb502aebe.png,28.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Christopher Trimmel,-116187.0,-116187.0,-122757.0,-129738.0,-792472.0,-1009895.0
2491,40,Tim,Skarke,4678359.0,140.0,1.0,1.0,0.0,2075.0,140.0,0,3,https://kickbase.b-cdn.net/content/file/530ba96741b943798d9be4d5dcc151f5.png,21.0,1,29.0,,"[{""hasPlayed"": true, ""points"": 140}]",3,Tim Skarke,331253.0,331253.0,364386.0,356716.0,1215131.0,1726705.0
2717,40,Robert,Skov,874031.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/ebae4e5c0fec43ebaed2b2aae064a346.png,24.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Robert Skov,-37627.0,-37627.0,-76555.0,-116217.0,-699985.0,-2256979.0
3102,40,Tom,Rothe,10351472.0,78.0,1.0,1.0,1.0,6161.0,78.0,0,2,https://kickbase.b-cdn.net/content/file/82917858d1a74a7f90a2d9dfca456b71.png,15.0,1,7.0,,"[{""hasPlayed"": true, ""points"": 78}]",1,Tom Rothe,68793.0,68793.0,96913.0,88200.0,199309.0,6085753.0
3187,40,András,Schäfer,4615535.0,37.0,1.0,1.0,1.0,4100.0,37.0,0,3,https://kickbase.b-cdn.net/content/file/433f8b676b6b4b898ad3ede98e20f79d.png,13.0,2,8.0,,"[{""hasPlayed"": true, ""points"": 37}]",3,András Schäfer,-69316.0,-69316.0,-98107.0,-138589.0,-650718.0,686097.0
3364,40,Carl,Klaus,3634039.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/03530ee1979440f6865c5fc39260c63a.png,25.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Carl Klaus,-146088.0,-146088.0,-149158.0,-151462.0,-1155419.0,3020865.0
3419,40,Matheo,Raab,6262159.0,9.0,1.0,1.0,1.0,6161.0,9.0,0,1,https://kickbase.b-cdn.net/content/file/6f65c492a85a491b94cd3b8a37bae6f8.png,31.0,1,1.0,,"[{""hasPlayed"": true, ""points"": 9}]",2,Matheo Raab,276684.0,276684.0,309728.0,329921.0,2403309.0,4660470.0
3453,40,Derrick,Köhn,1365769.0,19.0,1.0,1.0,0.0,811.0,19.0,0,2,https://kickbase.b-cdn.net/content/file/336162df73db46fdb0d35c73c0928582.png,17.0,2,13.0,,"[{""hasPlayed"": true, ""points"": 19}]",5,Derrick Köhn,-14147.0,-14147.0,-46173.0,-78251.0,-350295.0,-2313864.0
4352,40,Stanley,Nsoki,2320136.0,,,,,,,1,2,https://kickbase.b-cdn.net/content/file/6c54070a804d4f15acb3d09b63af882a.png,34.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Stanley Nsoki,-140414.0,-140414.0,-144889.0,-147829.0,-1052087.0,166665.0
4446,40,Aljoscha,Kemlein,8467721.0,56.0,1.0,1.0,1.0,4980.0,56.0,0,3,https://kickbase.b-cdn.net/content/file/2dc45e5315ff4262a38925af69a6e745.png,6.0,2,6.0,,"[{""hasPlayed"": true, ""points"": 56}]",1,Aljoscha Kemlein,-168683.0,-168683.0,-212849.0,-225690.0,-1458171.0,2650959.0
4598,40,Josip,Juranović,10237973.0,216.0,1.0,1.0,1.0,6161.0,216.0,0,2,https://kickbase.b-cdn.net/content/file/17ce8593891544bbae052579071e5c45.png,18.0,1,21.0,,"[{""hasPlayed"": true, ""points"": 216}]",1,Josip Juranović,346479.0,346479.0,375804.0,403384.0,2285221.0,5444582.0
7684,40,Michel,Aebischer,4858101.0,25.0,1.0,1.0,1.0,4096.0,25.0,0,3,https://kickbase.b-cdn.net/content/file/53d3916429e94e6c8ea54b7c96c1fd91.png,20.0,2,5.0,,"[{""hasPlayed"": true, ""points"": 25}]",3,Michel Aebischer,-212851.0,-212851.0,-246147.0,-326482.0,-1700117.0,4858101.0
7723,40,Leopold,Querfeld,15211615.0,257.0,1.0,1.0,1.0,6161.0,257.0,0,2,https://kickbase.b-cdn.net/content/file/b9dfbb26ed9347b9a1585f29718c9d76.png,14.0,1,16.0,,"[{""hasPlayed"": true, ""points"": 257}]",3,Leopold Querfeld,123735.0,123735.0,177160.0,200698.0,979272.0,2606691.0
8381,40,Livan,Burcu,6813438.0,27.0,1.0,1.0,0.0,2065.0,27.0,0,3,https://kickbase.b-cdn.net/content/file/9ee1048c9191462c82b58e23f1dbf647.png,9.0,2,3.0,,"[{""hasPlayed"": true, ""points"": 27}]",3,Livan Burcu,-308703.0,-308703.0,-348075.0,-383736.0,-2322305.0,898756.0
9683,40,Andrej,Ilic,4248881.0,,,,,,,2,4,https://kickbase.b-cdn.net/content/file/1a56a70bd0c1483894bc78d61bf30f46.png,23.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",4,Andrej Ilic,-87647.0,-87647.0,-86653.0,-83334.0,-600857.0,-4242325.0
10106,40,Marin,Ljubicic,5707465.0,23.0,1.0,1.0,1.0,5350.0,23.0,0,4,https://kickbase.b-cdn.net/content/file/fcb660bdc74f41ef85fd3f45ac56962e.png,27.0,1,4.0,,"[{""hasPlayed"": true, ""points"": 23}]",3,Marin Ljubicic,153602.0,153602.0,202273.0,244867.0,1926105.0,3099900.0
12763,40,Emmanuel,Latte Lath,10777163.0,96.0,1.0,1.0,1.0,4086.0,96.0,0,4,https://kickbase.b-cdn.net/content/file/d94f619b8cda4f03a559f3b3b10c2ffc.png,29.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 96}]",2,Emmanuel Latte Lath,91231.0,91231.0,135117.0,153931.0,851599.0,10277163.0
13629,40,Linus,Güther,2488849.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/d92375c9bb9640858ef3fa4deebadf84.png,49.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Linus Güther,-142505.0,-142505.0,-153384.0,-165741.0,-1088028.0,1988849.0
14917,40,Zeno,Van den Bosch,10816253.0,91.0,1.0,1.0,1.0,6161.0,91.0,0,2,https://kickbase.b-cdn.net/content/file/f19174a181cb4b18a6fb28116d085029.png,4.0,2,8.0,,"[{""hasPlayed"": true, ""points"": 91}]",2,Zeno Van den Bosch,-136934.0,-136934.0,-232077.0,-300627.0,-2059888.0,-451644.0
17306,40,Kastriot,Imeri,4098937.0,,,,,,,4,3,https://kickbase.b-cdn.net/content/file/35e95c83657447b79b7b77f552c56abb.png,0.0,1,,,"[{""hasPlayed"": false, ""points"": null}]",5,Kastriot Imeri,108894.0,108894.0,3990043.0,0.0,4098937.0,4098937.0
357,4,Jens,Grahl,500000.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/e76a9805862d4c849883f4035d7912a7.png,33.0,0,,,"[{""hasPlayed"": false, ""points"": null}]",5,Jens Grahl,0.0,0.0,0.0,0.0,0.0,0.0
461,4,Timothy,Chandler,1531171.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/e7c03911a4054596904af25c839e49a8.png,22.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Timothy Chandler,-108991.0,-108991.0,-127470.0,-154169.0,-830921.0,1031171.0
513,4,Mario,Götze,4259516.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/d3877d0c416e4d30a99efbd5a673b455.png,27.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",3,Mario Götze,-83389.0,-83389.0,-98984.0,-105155.0,-795074.0,1854001.0
