id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,name,marketChangeToday,last5Points,last5PlayedSlots,last5AveragePoints
2172,9,Chris,Führich,24631614.0,101.0,33.0,33.0,20.0,110946.0,3346.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/2172.png,10.0,1,135.0,,"[{""hasPlayed"": true, ""points"": 164}, {""hasPlayed"": true, ""points"": 99}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 122}]",Chris Führich,159140.0,"[164.0, 99.0, 198.0, 82.0, 122.0]",5,133.0
3072,2,Jonas,Urbig,11805755.0,114.0,14.0,14.0,11.0,73976.0,1591.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/3072.png,40.0,2,134.0,,"[{""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 187}, {""hasPlayed"": true, ""points"": 80}, {""hasPlayed"": true, ""points"": 204}, {""hasPlayed"": true, ""points"": 150}]",Jonas Urbig,-434358.0,"[41.0, 187.0, 80.0, 204.0, 150.0]",5,132.4
1883,15,Moritz,Nicolas,18511013.0,111.0,34.0,34.0,34.0,200791.0,3766.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/1883.png,1.0,1,203.0,,"[{""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 151}, {""hasPlayed"": true, ""points"": 111}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 81}]",Moritz Nicolas,107498.0,"[135.0, 151.0, 111.0, 166.0, 81.0]",5,128.8
1686,15,Nico,Elvedi,18722451.0,106.0,33.0,33.0,33.0,194378.0,3508.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/1686.png,30.0,1,187.0,,"[{""hasPlayed"": true, ""points"": 298}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 130}, {""hasPlayed"": true, ""points"": 133}]",Nico Elvedi,160150.0,"[298.0, 0.0, 77.0, 130.0, 133.0]",4,127.6
1246,43,Willi,Orban,30642088.0,131.0,33.0,33.0,33.0,193712.0,4323.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/1246.png,4.0,1,141.0,,"[{""hasPlayed"": true, ""points"": 110}, {""hasPlayed"": true, ""points"": 313}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": false, ""points"": null}]",Willi Orban,76630.0,"[110.0, 313.0, 82.0, 131.0, 0.0]",4,127.2
7745,14,Vladimír,Coufal,24827989.0,115.0,34.0,34.0,34.0,198844.0,3918.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/7745.png,34.0,1,157.0,,"[{""hasPlayed"": true, ""points"": 52}, {""hasPlayed"": true, ""points"": 235}, {""hasPlayed"": true, ""points"": 76}, {""hasPlayed"": true, ""points"": 152}, {""hasPlayed"": true, ""points"": 112}]",Vladimír Coufal,152277.0,"[52.0, 235.0, 76.0, 152.0, 112.0]",5,125.4
6081,4,Can,Uzun,26965494.0,106.0,21.0,21.0,15.0,76576.0,2232.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/6081.png,42.0,1,82.0,,"[{""hasPlayed"": true, ""points"": 31}, {""hasPlayed"": true, ""points"": 143}, {""hasPlayed"": true, ""points"": 218}, {""hasPlayed"": true, ""points"": 220}, {""hasPlayed"": true, ""points"": 9}]",Can Uzun,81854.0,"[31.0, 143.0, 218.0, 220.0, 9.0]",5,124.2
6668,2,Kim,Minjae,11515757.0,124.0,25.0,25.0,19.0,106765.0,3112.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/6668.png,3.0,1,270.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 173}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 148}, {""hasPlayed"": true, ""points"": 125}]",Kim Minjae,-23572.0,"[0.0, 173.0, 166.0, 148.0, 125.0]",4,122.4
7673,14,Albian,Hajdari,16555626.0,97.0,30.0,30.0,28.0,160153.0,2924.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/7673.png,21.0,1,176.0,,"[{""hasPlayed"": true, ""points"": -7}, {""hasPlayed"": true, ""points"": 245}, {""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 171}, {""hasPlayed"": true, ""points"": 120}]",Albian Hajdari,188558.0,"[-7.0, 245.0, 81.0, 171.0, 120.0]",5,122.0
1704,3,Waldemar,Anton,33375505.0,126.0,32.0,32.0,32.0,190794.0,4034.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/1704.png,3.0,1,120.0,,"[{""hasPlayed"": true, ""points"": 156}, {""hasPlayed"": true, ""points"": 123}, {""hasPlayed"": true, ""points"": 40}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 133}]",Waldemar Anton,76802.0,"[156.0, 123.0, 40.0, 153.0, 133.0]",5,121.0
