team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,market_value_percentile_within_team
Bayer Leverkusen,15,2026,22.0,Victor Boniface,656681,Centre-Forward,25,Nigeria,30/06/2028,€5.00m,5000000.0,https://www.transfermarkt.com/victor-boniface/profil/spieler/656681,22.58
Bayer Leverkusen,15,2026,15.0,Tim Oermann,696164,Centre-Back,22,Germany,30/06/2029,€4.00m,4000000.0,https://www.transfermarkt.com/tim-oermann/profil/spieler/696164,19.35
Bayer Leverkusen,15,2026,29.0,Farid Alfa-Ruprecht,897402,Right Winger,20,Germany|Ghana,30/06/2030,€3.00m,3000000.0,https://www.transfermarkt.com/farid-alfa-ruprecht/profil/spieler/897402,16.13
Bayer Leverkusen,15,2026,7.0,Jonas Hofmann,7161,Attacking Midfield,34,Germany,30/06/2027,€1.50m,1500000.0,https://www.transfermarkt.com/jonas-hofmann/profil/spieler/7161,11.29
Bayer Leverkusen,15,2026,21.0,Lucas Vázquez,221316,Right-Back,35,Spain,30/06/2027,€1.50m,1500000.0,https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,11.29
Bayer Leverkusen,15,2026,28.0,Janis Blaswich,81173,Goalkeeper,35,Germany,30/06/2027,€700k,700000.0,https://www.transfermarkt.com/janis-blaswich/profil/spieler/81173,6.45
Bayer Leverkusen,15,2026,36.0,Niklas Lomb,85543,Goalkeeper,33,Germany,30/06/2027,€250k,250000.0,https://www.transfermarkt.com/niklas-lomb/profil/spieler/85543,3.23
Bayer Leverkusen,15,2026,,Naba Mensah,991480,Central Midfield,19,Germany|Ghana,30/06/2027,-,,https://www.transfermarkt.com/naba-mensah/profil/spieler/991480,
Bayer Leverkusen,15,2026,,Ndjicoura Bomba,1392804,Centre-Forward,18,Mali,30/06/2030,-,,https://www.transfermarkt.com/ndjicoura-bomba/profil/spieler/1392804,
Bayern Munich,27,2026,17.0,Michael Olise,566723,Right Winger,24,France|England,30/06/2029,€170.00m,170000000.0,https://www.transfermarkt.com/michael-olise/profil/spieler/566723,100.0
Bayern Munich,27,2026,10.0,Jamal Musiala,580195,Attacking Midfield,23,Germany|England,30/06/2030,€100.00m,100000000.0,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195,96.43
Bayern Munich,27,2026,45.0,Aleksandar Pavlovic,792380,Defensive Midfield,22,Germany|Serbia,30/06/2029,€90.00m,90000000.0,https://www.transfermarkt.com/aleksandar-pavlovic/profil/spieler/792380,92.86
Bayern Munich,27,2026,2.0,Dayot Upamecano,344695,Centre-Back,27,France|Guinea-Bissau,30/06/2030,€75.00m,75000000.0,https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695,89.29
Bayern Munich,27,2026,14.0,Luis Díaz,480692,Left Winger,29,Colombia,30/06/2029,€70.00m,70000000.0,https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,85.71
Bayern Munich,27,2026,9.0,Harry Kane,132098,Centre-Forward,33,England|Ireland,30/06/2027,€60.00m,60000000.0,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,80.36
Bayern Munich,27,2026,42.0,Lennart Karl,1075147,Attacking Midfield,18,Germany,30/06/2029,€60.00m,60000000.0,https://www.transfermarkt.com/lennart-karl/profil/spieler/1075147,80.36
Bayern Munich,27,2026,34.0,Ismael Saibari,702869,Attacking Midfield,25,Morocco|Belgium,30/06/2031,€55.00m,55000000.0,https://www.transfermarkt.com/ismael-saibari/profil/spieler/702869,75.0
