player_id,games_played,starts,total_points,total_playtime_seconds,snapshot_timestamp,source_snapshot_filename
11680,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11756,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11956,1.0,1.0,39.0,3394.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11957,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
14241,1.0,0.0,21.0,2499.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
15199,1.0,1.0,5.0,5226.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
417,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
737,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1580,1.0,1.0,181.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2069,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2201,1.0,0.0,99.0,1830.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2358,1.0,1.0,80.0,5444.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2536,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2552,1.0,0.0,19.0,362.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2718,1.0,0.0,48.0,1817.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2765,1.0,1.0,85.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2855,1.0,1.0,100.0,3996.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7219,1.0,1.0,137.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8001,1.0,1.0,112.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8274,1.0,1.0,142.0,3976.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8385,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
10024,1.0,0.0,20.0,185.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11570,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11875,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11958,1.0,1.0,62.0,5621.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
12321,1.0,1.0,53.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
14140,1.0,1.0,88.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
14300,1.0,1.0,52.0,3989.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
15373,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
16945,1.0,0.0,238.0,1810.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
524,1.0,1.0,129.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1815,1.0,0.0,-3.0,513.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1954,1.0,1.0,61.0,3268.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2373,1.0,1.0,197.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2803,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2852,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3124,1.0,1.0,75.0,4308.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3158,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3204,1.0,1.0,101.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3471,1.0,1.0,52.0,3276.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7543,1.0,0.0,-74.0,2530.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7673,1.0,1.0,55.0,5299.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7717,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7745,1.0,1.0,138.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
